Property Name,Reported,Property Type,Address,ZIP, Gross Area (sq ft) ,Site EUI (kBTU/sf),Energy Star Score,Energy Star Certified,Property Uses,Year Built, GHG Emissions (MTCO2e) ,GHG Intensity (kgCO2/sf), Total Site Energy (kBTU) ,% Electricity,% Gas,% Steam,Water Intensity (gal/sf), Onsite Renewable (kWh) ,User Submitted Info,User Submitted Link,Tax Parcel,Years Reported
Harpoon,Yes,Other,306 Northern Ave,01220," 47,515 ",Not Available,Not Available,,Other,1943, Not Available ,Not Available, Not Available ,,,,,,,,602674000,"2015, 2016, 2017, "
SMFA Mission Hill,Yes,Other - Education,160 St Alphonsus St,01225," 45,000 ",Not Available,Not Available,,Other - Education,1920, Not Available ,Not Available, Not Available ,,,,,,,,1000599000,"2014, 2016, 2017, "
Commonwealth Apartments,Yes,Multifamily Housing,1293 Commonwealth Avenue,01234," 117,241 ",42.6,99,,Multifamily Housing,1905, 464.6 ,4.0," 4,998,855.7 ",40.4%,59.6%,,37.1,,The Tax Assessor Database has incorrectly recorded the GFA for this property and flagged it as required to report on only one part of the property. The usage recorded here accurately reflects the for the property. ,,2101031000,"2015, 2016, 2017, "
River House Condo Trust,Yes,Multifamily Housing,3000 Davenport Avenue Suite 201,02021," 178,000 ",56.8,92,,Multifamily Housing,1900, 621.5 ,3.5," 10,109,996.3 ",25.8%,74.2%,,29.8,,,,0502442001,"2015, 2016, 2017, "
44 School Street LLC,Yes,Office,44 School Street,02026," 58,921 ",26.3,100,,Office,1924, 132.6 ,2.3," 1,552,224.5 ",100.0%,,,10.9,,,,0304704000,"2014, 2015, 2016, 2017, "
10 Necco Street,Yes,Parking,10 Necco Street,02038," 160,180 ",5.1,Not Available,,Parking,1980, 58.1 ,0.4," 679,479.3 ",100.0%,,,0.1,,,,0601166070,"2017, "
One Beacon,Yes,Office,1 Beacon Street,02108," 1,136,283 ",98.2,82,"2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007","Data Center, Office, Parking",1973," 8,319.8 ",7.3," 111,572,120.2 ",43.6%,1.0%,55.4%,10.2,,,,0302720000,"2014, 2015, 2016, 2017, "
Center Plaza,Yes,Office,1 Center Plaza,02108," 741,231 ",69,87,"2016, 2015","Bank Branch, Fast Food Restaurant, Office, Parking, Restaurant, Retail Store",1963," 3,895.8 ",5.3," 51,140,198.5 ",71.3%,28.7%,,9.9,,"This property is identified as 3 buildings for tax purposes.  However, it is actually one physical building and is benchmarked as such.  The other two tax parcel numbers are:

Center Plaza 1 - 0302713000
Center Plaza 2 - 0302715000
Center Plaza 3 - 0302717000

The building has one 600 Sq Ft ""IT room"" but is not currently configured to benchmark this as data center space per ENERGY STAR requirements.
10/14/2014 - Retail space benchmarked 

4/20/2016 - Profile updated based on new building measurements from file ""Center Plaza ENERGY STAR Sq Footage UPDATE 4.15.16"".  Back-up of old profile saved as ""Center Plaza ENERGY STAR Profile Back-Up - 2016-04-20.xls"".  

6/1/2016 - Parking sq ft updated. ",,0302713000 0302715000 0302717000,"2014, 2015, 2016, 2017, "
Ames Hotel,Yes,Hotel,1 Court Street ,02108," 95,000 ",86.6,49,,Hotel,1893, 596.2 ,6.3," 8,223,063.5 ",60.0%,40.0%,,25.0,,,,302885000,"2017, "
One Washington Mall,Yes,Office,1 Washington Mall,02108," 156,169 ",Not Available,Not Available,,"Office, Retail Store",1972, Not Available ,Not Available, Not Available ,,,,,,,,0302890000,"2014, 2015, 2016, 2017, "
