Harpoon,Yes,Other,306 Northern Ave,1220,47515,,,,Other,1943,  ,,  ,0,0,0,,,,,602674000,"2015, 2016, 2017, "
SMFA Mission Hill,Yes,Other - Education,160 St Alphonsus St,1225,45000,,,,Other - Education,1920,  ,,  ,0,0,0,,,,,1000599000,"2014, 2016, 2017, "
Commonwealth Apartments,Yes,Multifamily Housing,1293 Commonwealth Avenue,1234,117241,42.6,99,,Multifamily Housing,1905,464.6,4,4998855.7,0.404,0.596,0,37.1,,The Tax Assessor Database has incorrectly recorded the GFA for this property and flagged it as required to report on only one part of the property. The usage recorded here accurately reflects the for the property. ,,2101031000,"2015, 2016, 2017, "
River House Condo Trust,Yes,Multifamily Housing,3000 Davenport Avenue Suite 201,2021,178000,56.8,92,,Multifamily Housing,1900,621.5,3.5,10109996.3,0.258,0.742,0,29.8,,,,502442001,"2015, 2016, 2017, "
44 School Street LLC,Yes,Office,44 School Street,2026,58921,26.3,100,,Office,1924,132.6,2.3,1552224.5,1,0,0,10.9,,,,304704000,"2014, 2015, 2016, 2017, "
10 Necco Street,Yes,Parking,10 Necco Street,2038,160180,5.1,,,Parking,1980,58.1,0.4,679479.3,1,0,0,0.1,,,,601166070,"2017, "
One Beacon,Yes,Office,1 Beacon Street,2108,1136283,98.2,82,"2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2008, 2007","Data Center, Office, Parking",1973,8319.8,7.3,111572120.2,0.436,0.01,0.554,10.2,,,,302720000,"2014, 2015, 2016, 2017, "
Center Plaza,Yes,Office,1 Center Plaza,2108,741231,69,87,"2016, 2015","Bank Branch, Fast Food Restaurant, Office, Parking, Restaurant, Retail Store",1963,3895.8,5.3,51140198.5,0.713,0.287,0,9.9,,"This property is identified as 3 buildings for tax purposes.  However, it is actually one physical building and is benchmarked as such.  The other two tax parcel numbers are:Center Plaza 1 - 0302713000Center Plaza 2 - 0302715000Center Plaza 3 - 0302717000The building has one 600 Sq Ft ""IT room"" but is not currently configured to benchmark this as data center space per ENERGY STAR requirements.10/14/2014 - Retail space benchmarked 4/20/2016 - Profile updated based on new building measurements from file ""Center Plaza ENERGY STAR Sq Footage UPDATE 4.15.16"".  Back-up of old profile saved as ""Center Plaza ENERGY STAR Profile Back-Up - 2016-04-20.xls"".  6/1/2016 - Parking sq ft updated. ",,0302713000 0302715000 0302717000,"2014, 2015, 2016, 2017, "
Ames Hotel,Yes,Hotel,1 Court Street ,2108,95000,86.6,49,,Hotel,1893,596.2,6.3,8223063.5,0.6,0.4,0,25,,,,302885000,"2017, "
One Washington Mall,Yes,Office,1 Washington Mall,2108,156169,,,,"Office, Retail Store",1972,  ,,  ,0,0,0,,,,,302890000,"2014, 2015, 2016, 2017, "
Miller Hall,Yes,Residence Hall/Dormitory,10 Somerset Street,2108,131253,90.2,50,,Residence Hall/Dormitory,2004,867.5,6.6,11834472.5,0.421,0.084,0.495,36.4,,,,302803000,"2014, 2016, 2017, "
10 Tremont Street,Yes,Office,10 Tremont Street,2108,38000,63,99,,Office,1900,176,4.6,2394594.6,0,0,0,10.9,,,,302854000,"2016, 2017, "
Sears Crescent Building,Yes,Office,100 City Hall Plaza ,2108,50300,85.5,59,,Office,1816,304.8,6.1,4301672.1,0.548,0.452,0,18.5,,,,302897000,"2017, "
101 Tremont,Yes,Office,101 Tremont Street,2108,80344,64.5,,,Office,1901,349.5,4.4,5181744.7,0.444,0.557,0,29.6,,,,304717000,"2015, 2016, 2017, "
10-24 School Street,Yes,Office,10-24 School Street,2108,134789,74.2,86,"2017, 2016","Office, Retail Store",1925,772.1,5.7,9995985.3,0.569,0,0.431,10.3,,,,304718000,"2015, 2016, 2017, "
Sargent Hall,Yes,College/University,120 Tremont Street,2108,287602,47.8,,,Other,1996,1144,4,13727428.7,0.935,0.065,0,15,,,,304758010,"2014, 2016, 2017, "
Beacon Hill House,Yes,Multifamily Housing,122 Bowdoin Street,2108,39800,137.3,,,"Multifamily Housing, Retail Store",1890,317,8,5466349.9,0.151,0.849,0,6715.5,,,,302813000,"2016, 2017, "
BostonView Apartments,Yes,Multifamily Housing,130-140 Bowdoin St,2108,209103,13.1,100,,"Multifamily Housing, Parking",1965,233.8,1.1,2736096.2,1,0,0,,,,,02811-000,"2016, 2017, "
Congregational House,Yes,Office,14 Beacon Street,2108,71900,51.4,95,,"Library, Office",1897,291.7,4.1,3698055.9,0.48,0.034,0,5.5,,"Building houses the Congregational Library and has a climate control system.Rest of building is made up of office spaces rented to both profit and non-profit tenants.",,304692050,"2014, 2015, 2016, 2017, "
Ridgeway Building,Yes,College/University,148 Cambridge Street,2108,46790,160.8,,,College/University,1989,454.2,9.7,7524953.6,0.224,0.776,0,14.3,,,,300087000,"2016, 2017, "
FIFTEEN BEACON STREET LLC,Yes,Hotel,15 A BEACON ST,2108,41405,282.8,,,"Hotel, Other - Restaurant/Bar",1909,767.4,18.5,11710686.6,0.371,0.352,0.277,84.6,,,,302805000,"2017, "
"Brickpoint Properties, Inc.",Yes,Office,15 Court Square,2108,81986,60.3,94,,Office,1911,334,4.1,4946200.4,0.446,0.554,0,1.4,,,,302866000,"2014, 2015, 2016, 2017, "
New England Center for Homeless Veterans,Yes,Barracks,17 Court St.,2108,125530,54.3,67,,Barracks,1908,524.1,4.2,6812700.3,0.728,0.25,0.022,37.3,,Steam usage billing period spans greater than 31 days.,,302886000,"2015, 2016, 2017, "
"RECP V 18 Tremont Owner, LLC",Yes,Office,18 Tremont Street,2108,210669,,,,Office,1915,  ,,  ,0,0,0,6.1,,,,302859000,"2016, 2017, "
Faros 20 Ashburton LLC,Yes,Office,20 Ashburton Place,2108,43073,26.2,,,Office,1968,96.6,2.2,1130054.4,1,0,0,10.1,,,,302814000,"2017, "
20 City Hall Ave,Municipal ,Office,20 City Hall Ave,2108,9680,179.2,15,,Office,2000,108.5,11.2,1734399.7,0.147,0.501,0.352,,,,,302865000,"2016, 2017, "
20 Somerset Building,Yes,College/University,20 Somerset Street,2108,103599,72.1,,,College/University,2015,638.2,6.2,7468757.4,1,0,0,8.6,,,,302782000,"2016, 2017, "
Twenty-One Beacon Condominium,Yes,Multifamily Housing,21 Beacon Street,2108,94785,163.9,4,,"Convenience Store without Gas Station, Multifamily Housing, Office, Other - Restaurant/Bar",1900,966.7,10.2,15533903.7,0.282,0.718,0,71.2,,,,302807000,"2015, 2016, 2017, "
Court Street,Municipal ,Office,26 Court Street,2108,152532,60,94,,Office,2000,616.2,4,9158945.7,0.438,0.562,0,,,,,302860000,"2016, 2017, "
Pi Alley Garage,Yes,Mixed Use Property,275 Washington St,2108,23000,306.3,,,"Other, Parking",1970,559.7,24.3,7045016.4,0.814,0.186,0,45.8,,,,302875000,"2014, 2015, 2016, 2017, "
TFC 30 Winter LLC,Yes,Office,30 Winter Street,2108,87228,61.4,,,"Data Center, Office, Retail Store",1975,410.3,4.7,5351926.8,1,0,0,12.2,,,,304770000,"2017, "
32-38 Bromfield Street,Yes,Mixed Use Property,32-38 Bromfield Street,2108,41818,60.9,95,,Office,1899,176.3,4.2,2547626.5,0.176,0.041,0.783,4.8,,This is a mixed-use building.  Retail space ground floor office space above.,,304761000,"2016, 2017, "
Parkman House,Municipal ,Multifamily Housing,33 Beacon St,2108,18000,52.9,,,Other,2000,61.2,3.4,952970.5,0.344,0.656,0,1.7,,,,501617000,"2016, 2017, "
333 Washington Condo Trust,Yes,Other - Mall,333 Washington Street,2108,143954,104.2,,,Other - Mall,1930,1080.8,7.5,15004981,0.585,0.415,0,42.8,,,,304721000,"2017, "
350 Washington Street,Yes,Retail Store,350 Washington Street,2108,166700,85.5,46,,"Fitness Center/Health Club/Gym, Retail Store",1965,1162.9,7,14249359.3,0.799,0,0.201,21.2,,,,304630010,"2014, 2015, 2016, 2017, "
37 Beacon Street Condominium Trust,Yes,Multifamily Housing,37 Beacon Street,2108,30295,32.9,98,,Multifamily Housing,1900,79.9,2.6,997265.2,0.533,0.002,0,25.9,,,,501607000,"2017, "
Washington Jewelers Building,Yes,Office,373-387 Washington St.,2108,118094,84.3,,,"Office, Retail Store",1920,803.3,6.8,9950867.6,0.622,0.022,0,40.8,,,,304734000,"2014, 2015, 2016, 2017, "
399washington,Yes,Other,399 washington St,2108,59891,7753.3,,,"Other, Retail Store",1918,30835.3,514.9,464351294.1,0.001,0.001,0.998,5.3,,,,03-04736-000,"2014, 2015, 2016, 2017, "
40 Court Street,Yes,Office,40 Court Street,2108,130000,84.6,75,,Office,1914,768.1,5.9,10995798.5,0.369,0.269,0.362,14.7,,,,302855000,"2014, 2015, 2016, 2017, "
The Corner Mall,Yes,Office,413 Washington Street,2108,212515,105,46,,"Office, Performing Arts, Retail Store",1925,1634.5,7.7,22307972.7,0.565,0.292,0.143,40.9,,"This is a mixed use office/retail/food court/theatre building.",,304738000,"2014, 2015, 2016, 2017, "
45 Bromfield,Voluntary,Office,45 Bromfield Street,2108,22448,,,,Office,1912,    ,0,  ,0,0,0,14.5,,,,304715000,"2017, "
45 Province Condominium,Yes,Multifamily Housing,45 Province Street,2108,195022,130,1,,Multifamily Housing,2009,1886.3,9.7,25352483,0.659,0.341,0,33.7,,,,304705000,"2015, 2016, 2017, "
Old City Hall,Yes,Office,45 School Street ,2108,97230,78.6,80,,"Office, Restaurant",1862,579.5,6,7643811.4,0.609,0.165,0.226,26.2,,,,302856000,"2015, 2016, 2017, "
HOLY SPIRIT ASSOCIATION,Yes,Worship Facility,46 Beacon St,2108,35000,46.1,49,,Worship Facility,1860,111,3.2,1612201.1,0.174,0.273,0,2467.7,,,,501489001,"2017, "
The Paulist Center,Yes,Worship Facility,5 Park Street,2108,36360,68.5,,,"Residence Hall/Dormitory, Worship Facility",1945,182.9,5,2490370.2,0.403,0.047,0.55,14,,"This whole building is in use 24/7, even though the drop down menus were only allowing me to say it was in use for 5 days a week.  There was no weekend option, when we have tons of things happening.",,304681000,"2016, 2017, "
"55 Court, LLC",Yes,Office,55 Court Street,2108,49412,5.8,,,"Office, Retail Store",1968,24.5,0.5,287282.9,1,0,0,,,The retail store is VACANT.,,302892000,"2015, 2016, 2017, "
"Six Beacon Street, LLC",Yes,Office,6 Beacon Street,2108,90000,65.1,90,,Office,1900,394.1,4.4,5861406.6,0.437,0.563,0,15.1,,,,304695000,"2014, 2015, 2016, 2017, "
Omni Parker House,Yes,Hotel,60 School Street,2108,338000,44727,1,,Hotel,1855,1003940.7,2970.2,15117712704,0.001,0.001,0.998,76,,"Using monthly meter readings from U drive to input into Portfolio.  Getting monthly costs from Accounting to input into Portfolio.All 2014 data inputed so far has been done using Ecova's website. Using utility bills off the website to input the information into Portfolio Manager.",,304696000,"2016, 2017, "
711 Atlantic Holdings,Yes,Office,711 Atlantic ,2108,91464,48.2,88,,Office,1900,376.4,4.1,4405263.9,1,0,0,9.8,,,,304309000,"2016, 2017, "
73 Tremont St,Yes,Office,73 Tremont St,2108,303975,114.4,31,"2015, 2014, 2013, 2012, 2010, 2009, 2008, 2007","Office, Other - Education, Parking",1898,2970.8,9.8,34768500.7,1,0,0,13.1,,,,304675000,"2014, 2015, 2016, 2017, "
Sawyer Building,Yes,College/University,8 Ashburton Place,2108,149634,60.6,,,"Data Center, Office",1920,719.4,4.8,9071502.3,0.81,0.19,0,17.8,,,,302802001,"2014, 2016, 2017, "
"Union Club of Boston, Inc.",Yes,Mixed Use Property,Eight Park Street,2108,36666,,,,"Hotel, Office, Restaurant",1863,  ,,  ,0,0,0,30.9,,,,304684000,"2016, 2017, "
One Boston Place,Yes,Office,One Boston Place,2108,844203,80.6,85,"2016, 2015, 2014, 2013, 2012, 2011, 2010, 2009, 2007",Office,1970,5201.7,6.2,68076270,0.526,0,0.474,10,,,,302870000,"2014, 2015, 2016, 2017, "
